Titre; Lien; Domaine; Periode; Salaire; Date de publication; Niveau d'études; Entreprise; Lieu
Stage - Assistant(e) administratif(ve) et commercial(e) H/F; https://jobs-stages.letudiant.fr/stages-etudiants/annonce/stage-assistant-e-administratif-ve-et-commercial-e-h-f.html; Commerce, vente, distribution - Achats - Commerce international - Distribution - Merchandising - E-commerce - Management et strat commerciale - Marketing - Technico-commercial - Vente, négociation, relation clientèle; None; 623 €/mois net; - Temps plein du lundi au vendredi
- 4 – 6 jours de télétravail possibles par mois; Bac +5 - Bac +3 - Bac +4; Pamela Infantes; Schiltigheim
Stage 6 Mois +++ E-Commerce Marketing Luxe - PARIS 5; https://jobs-stages.letudiant.fr/stages-etudiants/annonce/stage-6-mois-e-commerce-marketing-luxe-paris-5.html; Commerce, vente, distribution - E-commerce - Marketing - Vente, négociation, relation clientèle; None; 623 €/mois net; La stagiaire doit résider en région parisienne et parler parfaitement français.

Temps complet 35H/semaine.

→ Des vacations les samedis peuvent avoir lieu selon les besoins du show-room; Bac +5 - Bac +3 - Bac +2; Brigade Mondaine; Paris
Stagiaire Assistant Commercial Export Afrique (H/F) Choisy-Le-Roi (94); https://jobs-stages.letudiant.fr/stages-etudiants/annonce/stagiaire-assistant-commercial-export-afrique-h-f-choisy-le-roi-94.html; Commerce, vente, distribution - Commerce international; None; De 1200.0 à 1350.0 EUR par mois; Non Renseigné; Bac +4; Groupe Lactalis; Choisy-le-Roi
juriste / chargé(e) contentieux et recouvrement - stage 6...; https://jobs-stages.letudiant.fr/stages-etudiants/annonce/juriste-charge-e-contentieux-et-recouvrement-stage-6.html; Droit, Sc Politique, Economie - Droit; None; 14400€ / an; 5 mois; Bac +3; Garantme; Paris
